Drop?,question_id,DataType,survey_section,question_text
,year,Number,other,
Drop,response_id,Number,other,
Drop,random,Number,other,Randomly Assigned Number for individual cases
,agency_id,Text,agency,Agency identifier
,Q102,Number,my_work_experience,I am given a real opportunity to improve my skills in my organization.
,Q103,Number,my_work_experience,I feel encouraged to come up with new and better ways of doing things.
,Q104,Number,my_work_experience,My work gives me a feeling of personal accomplishment.
,Q105,Number,my_work_experience,I know what is expected of me on the job.
,Q106,Number+X,my_work_experience,My workload is reasonable.
,Q107,Number+X,my_work_experience,My talents are used well in the workplace.
,Q108,Number+X,my_work_experience,I know how my work relates to the agency's goals.
,Q109,Number+X,my_work_experience,I can disclose a suspected violation of any law_ rule or regulation without fear of reprisal.
,Q110,Number,my_work_unit,The people I work with cooperate to get the job done.
,Q111,Number+X,my_work_unit,In my work unit_ steps are taken to deal with a poor performer who cannot or will not improve.
,Q112,Number+X,my_work_unit,In my work unit poor performers usually:
,Q113,Number+X,my_work_unit,In my work unit_ differences in performance are recognized in a meaningful way.
,Q114,Number+X,my_agency,My work unit has the job-relevant knowledge and skills necessary to accomplish organizational goals.
,Q115,Number+X,my_agency,Employees are recognized for providing high quality products and services.
,Q116,Number+X,my_agency,Employees are protected from health and safety hazards on the job.
,Q117,Number+X,my_agency,My agency is successful at accomplishing its mission.
,Q118,Number,my_agency,I recommend my organization as a good place to work.
,Q119,Number+X,my_agency,I believe the results of this survey will be used to make my agency a better place to work.
,Q120,Number+X,my_work_experience,My supervisor supports my need to balance work and other life issues.
,Q121,Number+X,my_work_experience,My supervisor is committed to a workforce representative of all segments of society.
,Q122,Number+X,my_work_experience,Supervisors in my work unit support employee development.
,Q123,Number,my_work_experience,My supervisor listens to what I have to say.
,Q124,Number,my_work_experience,My supervisor treats me with respect.
,Q125,Number,my_work_experience,I have trust and confidence in my supervisor.
,Q126,Number,my_work_experience,Overall_ how good a job do you feel is being done by your immediate supervisor?
,Q127,Number+X,my_work_experience,In my organization_ senior leaders generate high levels of motivation and commitment in the workforce.
,Q128,Number+X,my_work_experience,My organization's senior leaders maintain high standards of honesty and integrity.
,Q129,Number+X,my_work_experience,Managers communicate the goals of the organization.
,Q130,Number+X,my_work_experience,Managers promote communication among different work units (for example_ about projects_ goals_ needed resources).
,Q131,Number+X,my_work_experience,Overall_ how good a job do you feel is being done by the manager directly above your immediate supervisor?
,Q132,Number+X,my_work_experience,I have a high level of respect for my organization's senior leaders.
,Q133,Number+X,my_work_experience,Senior leaders demonstrate support for Work/Life programs.
,Q134,Number,individual,How satisfied are you with your involvement in decisions that affect your work?
,Q135,Number,individual,How satisfied are you with the information you receive from management on what's going on in your organization?
